Item Number,Order Qty,Catalog Number,Vendor Code,Description,Price,Unit Code,Extended Price
1,80,THHN1BKPCS,COP,THHN 1 STR BLACK PCS,"$2,531.96 ",M,$202.56 
2,3,2150,BRI,"2"" EMT/RIGID CONDUIT HANGER",$136.90 ,C,$4.11 
3,4,CPL2,PVF,"2"" PVC COUPLING",$82.66 ,C,$3.31 
4,1,PVC290,PVF,"2"" SCH40 90D PVC ELBOW",$398.93 ,C,$3.99 
5,10,PVC280,PVC,"SCH 80 2"" 10' PVC CONDUIT",$153.54 ,C,$15.35 
6,10,EMT2,CON,"2"" EMT CONDUIT",$354.36 ,C,$35.44 
7,1,LB2,PVF,"2"" PVC TYPE LB CONDULET","$1,668.82 ",C,$16.69 
8,8,TA2,PVF,"2"" PVC MALE ADAPTER",$118.89 ,C,$9.51 
9,12,106S,BRI,"2"" STEEL LOCKNUT",$103.70 ,C,$12.44 
10,2,255RT2,BRI,"2"" RAINTIGHT DIECAST EMT COMPRESSION CONN",$710.00 ,C,$14.20 
11,1,1525DC,BRI,"2"" DIECAST OFFSET NIPPLE",$779.04 ,C,$7.79 
12,8,326,BRI,"2"" PLASTIC BUSHING",$53.61 ,C,$4.29 
13,1,386DC,BRI,"2"" DIECAST INSULATED GROUNDING BUSHING",$983.11 ,C,$9.83 
14,5,CHB6,CRS,"2"" COMMERCIAL HUB","$1,602.74 ",C,$80.14 
15,3,CHB3,CRS,"1"" COMMERCIAL HUB",$597.77 ,C,$17.93 
16,12,252RT2,BRI,"1"" RAINTIGHT DIECAST EMT COMPRESSION CONN",$240.61 ,C,$28.87 
17,8,323,BRI,"1"" PLASTIC BUSHING",$11.47 ,C,$0.92 
18,8,383DC,BRI,"1"" DIECAST INSULATED GROUNDING BUSHING",$339.50 ,C,$27.16 
19,6,262RT,BRI,"1"" DIECAST EMT RAINTIGHT COMPRESSION COUPLING",$262.97 ,C,$15.78 
20,10,922S,BRI,"1"" ONE HOLE EMT STRAP",$13.00 ,C,$1.30 
21,2,LB35,CRS,"1"" ALU LB SR5 CONDUIT BODY",$863.00 ,C,$17.26 
22,2,350,CRS,"1"" ALU SRS5 COND BODY CVR",$174.00 ,C,$3.48 
23,2,GASK035N,GAS,"1"" FORM 5 CONDUIT BODY GASKET",$38.87 ,C,$0.78 
24,50,EMT1,CON,"1"" EMT CONDUIT",$152.37 ,C,$76.18 
25,1,6672GRTNK,UNI,"6X6X72"" RT NO KO'",$162.35 ,E,$162.35 
26,3,GBK5,CHD,GROUND BAR KIT - 5 TERM,$7.11 ,E,$21.33 
27,2,GBKP10,CHD,10 TERM GROUND BAR -CH/BR PON,$15.48 ,E,$30.96 
28,15,THHN20BKPCS,COP,THHN 2/0 STR BLACK PCS,"$3,731.76 ",M,$55.98 
29,100,THHN4BKPCS,COP,THHN 4 STR BLACK PCS,"$1,368.00 ",M,$136.80 
30,150,THHN6BKPCS,COP,THHN 6 STR BLACK PCS,$895.00 ,M,$134.25 
31,500,THHN10STBK500,COP,THHN 10 STR BLACK 500',$320.18 ,M,$160.09 
32,2,TA114,PVF,"1-1/4"" PVC MALE ADAPTER",$57.32 ,C,$1.15 
33,4,104S,BRI,"1-1/4"" STEEL LOCKNUT",$28.52 ,C,$1.14 
34,10,EMT114,CON,"1-1/4"" EMT CONDUIT",$247.36 ,C,$24.74 
35,4,324,BRI,"1-1/4"" PLASTIC BUSHING",$30.54 ,C,$1.22 
36,2,BR250,ETN,TYPE BR BRKR 50A/2 POLE 120/240V 10K,$16.67 ,E,$33.34 
37,2,BR260,ETN,TYPE BR BRKR 60A/2 POLE 120/240V 10K,$16.67 ,E,$33.34 
